page_url,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,locator_domain,hours_of_operation,raw_address
https://www.kiehls.hr/znajdz-sklep?lat=45.815&long=15.9819,Kiehl's Centar Cvjetni,Kiehl's Centar Cvjetni,Zagreb,Missing,10000,Missing,Missing,091 6312 081,Missing,45.81226,15.97313,kiehls.pl,Missing,"Kiehl's Centar Cvjetni, Zagreb"
https://www.kiehls.hr/znajdz-sklep?lat=45.815&long=15.9819,"Kiehl's Arena Centar, Zagreb",Kiehl's Arena Centar,Zagreb,Grad Zagreb,10000,Missing,Missing,01 4952 100,Missing,45.7705,15.9401,kiehls.pl,Missing,"Kiehl's Arena Centar, Zagreb"
https://www.kiehls.hr/znajdz-sklep?lat=45.815&long=15.9819,"Kiehl's City Center one West, Zagreb",Kiehl' City Center one West,Zagreb,Missing,10000,Missing,Missing,01 4952 124,Missing,45.799,15.8849,kiehls.pl,Missing,"Kiehl' City Center one West, Zagreb"
https://www.kiehls.hr/znajdz-sklep?lat=43.51&long=16.44,Kiehl's City Center One Split,Kiehl's City Center One Split,Split,Missing,21000,Missing,Missing,021 585 469,Missing,43.5138,16.503,kiehls.pl,Missing,"Kiehl's City Center One Split, Split"
https://www.kiehls.hr/znajdz-sklep?lat=45.3272&long=14.4422,Kiehl's Tower Center,Pećine 81A,Rijeka,Missing,51000,Missing,Missing,091 6311 093,Missing,45.317363,14.469339,kiehls.pl,Missing,"Pećine 81A, Rijeka"
